,Code,Close_ratio
618,2990,7.519034121
619,64260,0.949185946
620,1500,-0.052483874
621,47310,-28.92235222
622,2810,-35.89523312
623,00279K,-30.3975196
624,84650,-52.56617672
625,161580,-80.66708875
626,92130,-63.25912864
627,75580,2.393654386
628,45970,-54.2949787
629,123690,-120.2547148
630,11930,28.64586399
631,17940,-8.766483132
632,11280,-20.8141483
633,67080,-68.74812016
634,39440,-51.01457642
635,40350,-136.3093969
636,251370,-21.33619952
637,95340,-4.177069039
638,148140,-379.399178
639,86820,-60.82469136
640,74610,-86.36244523
641,40910,-44.77314451
642,25000,-23.54934539
643,41190,37.77112338
644,33500,-11.78765974
645,136490,2.756988491
646,3560,-43.2581472
647,236200,-104.8896485
648,1360,31.23915987
649,142280,-78.83643192
650,79980,-2.393267417
651,282880,-83.79592065
652,94280,-55.39589437
653,256940,-26.89724502
654,2020,8.747786391
655,4710,-34.86921469
656,15860,-34.56922116
657,317330,10.90711019
658,30610,31.12952093
659,3545,12.02876486
660,206650,72.93848044
661,53610,-32.67494862
662,191420,-76.8177844
663,36580,-48.06730926
664,15750,33.62685894
665,214260,-33.93985488
666,121440,-2.109345372
667,41830,6.568162865
668,37710,-22.50447272
669,63570,-52.42415398
670,35890,19.78003765
671,4380,-35.70627014
672,214390,-19.63022886
673,16590,-6.484505965
674,16710,37.98843476
675,63160,-18.16823381
676,3070,38.31258292
677,91120,-25.53769074
678,189300,18.67234808
679,216080,41.61603175
680,60280,-17.16486607
681,12690,-79.4195942
682,68290,17.43140676
683,25320,-39.20055375
684,115960,-7.182494438
685,201490,-90.32664906
686,6620,-37.57234986
687,183190,25.32569907
688,278650,-76.32368683
689,45520,-147.3516883
690,121600,-9.304801799
691,125210,-66.55522634
692,5810,-25.70351649
693,54780,-40.57971559
694,217730,-124.0544791
695,1940,4.422815525
696,54950,-66.73162388
697,31330,13.78777126
698,121800,11.58939526
699,115180,
700,5420,-16.92864196
701,5720,-24.11772142
702,248170,-34.63159334
703,161000,2.629252295
704,3120,-59.90946042
705,35510,-8.524672365
