종목코드,종목명,시가총액
137940,넥스트아이,"142,664,920,050"
348210,넥스틴,"644,573,160,000"
41140,넥슨지티,"458,084,519,900"
217270,넵튠,"783,282,003,400"
225570,넷게임즈,"347,654,152,350"
251270,넷마블,"11,517,769,268,000"
317860,노드메이슨,"33,475,196,200"
104620,노랑풍선,"132,961,635,000"
90350,노루페인트,"260,000,000,000"
90355,노루페인트우,"15,954,690,700"
320,노루홀딩스,"195,379,919,700"
325,노루홀딩스우,"14,505,075,000"
194700,노바렉스,"398,415,495,000"
285490,노바텍,"405,790,196,000"
229500,노브메타파마,"253,200,992,750"
278650,노터스,"210,675,525,200"
6280,녹십자,"3,839,027,733,000"
144510,녹십자랩셀,"1,046,962,156,800"
31390,녹십자셀,"520,563,916,800"
142280,녹십자엠에스,"224,899,063,950"
234690,녹십자웰빙,"209,476,856,800"
5250,녹십자홀딩스,"1,603,661,961,000"
5257,녹십자홀딩스2우,"70,809,363,000"
65560,녹원씨엔아이,"99,593,806,250"
4370,농심,"1,906,908,267,000"
72710,농심홀딩스,"376,588,548,000"
54050,농우바이오,"214,809,517,400"
69140,누리플랜,"62,077,973,820"
40160,누리플렉스,"131,405,331,500"
126870,뉴로스,"79,475,828,550"
60260,뉴보텍,"53,494,000,000"
12340,뉴인텍,"123,332,680,710"
214870,뉴지랩파마,"333,933,281,000"
270870,뉴트리,"354,504,413,600"
144960,뉴파워프라즈마,"272,205,047,520"
85670,뉴프렉스,"44,529,516,300"
119860,다나와,"397,474,588,800"
64260,다날,"432,999,971,200"
93640,다믈멀티미디어,"46,650,109,800"
39560,다산네트웍스,"394,763,265,000"
58730,다스코,"96,170,000,000"
23590,다우기술,"1,278,698,584,500"
32190,다우데이타,"607,055,000,000"
323350,다원넥스뷰,"43,800,000,000"
68240,다원시스,"618,662,377,200"
86080,다이노나,"127,607,958,250"
271850,다이오진,"7,901,190,000"
343090,단디바이오,"79,691,545,000"
19680,대교,"448,078,076,500"
19685,대교우B,"78,679,309,500"
6370,대구백화점,"160,700,923,350"
8060,대덕,"288,405,176,500"
00806K,대덕1우,"15,760,641,000"
353200,대덕전자,"803,025,031,250"
35320K,대덕전자1우,"33,318,752,100"
490,대동,"276,433,646,500"
178600,대동고려삼,"17,731,656,000"
20400,대동금속,"45,923,990,400"
8830,대동기어,"82,595,308,800"
48470,대동스틸,"76,900,000,000"
8110,대동전자,"82,035,295,540"
4780,대륙제관,"111,163,361,010"
5750,대림B&Co,"130,043,472,000"
17650,대림제지,"128,700,000,000"
6570,대림통상,"68,055,750,000"
7720,대명소노시즌,"160,776,717,750"
317850,대모,"52,194,113,400"
290670,대보마그네틱,"256,047,167,600"
78140,대봉엘에스,"128,049,987,450"
1680,대상,"961,482,693,750"
1685,대상우,"29,254,261,050"
84690,대상홀딩스,"425,497,321,500"
84695,대상홀딩스우,"12,788,748,000"
36480,대성미생물,"85,500,000,000"
128820,대성산업,"243,366,871,640"
117580,대성에너지,"199,650,000,000"
25440,대성엘텍,"133,242,572,760"
27830,대성창투,"179,600,000,000"
104040,대성파인텍,"90,773,714,900"
16710,대성홀딩스,"615,421,806,750"
332290,대신밸런스제7호스팩,"11,294,850,000"
336570,대신밸런스제8호스팩,"12,145,650,000"
369370,대신밸런스제9호스팩,"9,893,500,000"
20180,대신정보통신,"107,024,528,275"
3540,대신증권,"1,002,774,650,000"
3547,대신증권2우B,"170,000,000,000"
3545,대신증권우,"447,200,000,000"
45390,대아티아이,"448,966,103,820"
9190,대양금속,"170,093,086,150"
108380,대양전기공업,"181,300,960,350"
6580,대양제지,"87,531,000,000"
14160,대영포장,"293,207,255,045"
47040,대우건설,"3,304,199,972,100"
9320,대우부품,"126,501,125,625"
42660,대우조선해양,"3,841,005,950,200"
3090,대웅,"2,718,137,565,000"
69620,대웅제약,"1,992,890,900,000"
7680,대원,"131,845,417,800"
430,대원강업,"263,190,000,000"
48910,대원미디어,"484,289,421,000"
5710,대원산업,"168,115,464,000"
6340,대원전선,"218,377,173,525"
6345,대원전선우,"17,037,800,000"
3220,대원제약,"351,270,820,650"
24890,대원화성,"121,066,261,120"
290380,대유,"131,041,050,000"
