날짜,종가,오픈,고가,저가,변동 %
2020년 03월 19일,722.14,725.25,746.95,704.88,-0.41%
2020년 03월 18일,725.1,743.85,751.18,720.98,-2.49%
2020년 03월 17일,743.58,754.27,762.92,739.42,-1.36%
2020년 03월 16일,753.84,743.49,764.82,739.91,0.67%
2020년 03월 13일,748.81,755.31,774.87,740.64,-0.82%
2020년 03월 12일,755,773.47,780.26,751.49,-2.36%
2020년 03월 11일,773.26,771.45,780.3,767.69,0.26%
2020년 03월 10일,771.23,791.06,794.28,768.4,-2.49%
2020년 03월 09일,790.9,787.16,802.18,759.84,0.04%
2020년 03월 06일,790.6,786.28,793.41,783.75,0.56%
2020년 03월 05일,786.22,785.45,787.03,781.69,0.16%
2020년 03월 04일,785,777.46,785.72,776.63,1.03%
2020년 03월 03일,777.01,778.07,792.08,774.57,-0.11%
2020년 03월 02일,777.89,778.71,786.09,775.04,-0.42%
2020년 02월 28일,781.21,796.61,799.89,777.9,-1.91%
2020년 02월 27일,796.46,793.66,799.53,792.66,0.41%
2020년 02월 26일,793.21,803.01,804.78,793.1,-1.20%
2020년 02월 25일,802.86,805.21,806.94,798.29,-0.28%
2020년 02월 24일,805.08,800.16,807.58,794.49,0.66%
2020년 02월 21일,799.82,797.37,803,794.78,0.36%
2020년 02월 20일,796.92,796.45,800.61,793.8,0.12%
2020년 02월 19일,795.99,796.45,798.27,793.49,-0.01%
2020년 02월 18일,796.03,795.85,797.85,793.57,0.05%
2020년 02월 17일,795.66,794.34,797.2,793.28,0.24%
2020년 02월 14일,793.79,795.8,796.79,793.63,-0.17%
2020년 02월 13일,795.13,794.76,797.97,790.61,0.15%
2020년 02월 12일,793.96,793.76,796.83,791.48,0.12%
2020년 02월 11일,792.97,794.47,796.34,792.42,-0.10%
2020년 02월 10일,793.74,796.52,797.8,792.68,-0.15%
2020년 02월 07일,794.9,798.42,799.54,795.34,-0.35%
2020년 02월 06일,797.69,798.99,800.94,795.86,-0.06%
2020년 02월 05일,798.2,797.71,803.65,796.35,0.15%
2020년 02월 04일,797.04,796.88,799.24,794.57,0.12%
2020년 02월 03일,796.09,800.18,802.25,796.22,-0.43%
2020년 01월 31일,799.55,798.95,803.1,795.67,0.20%
2020년 01월 30일,797.98,796.76,802.59,795.12,0.25%
2020년 01월 29일,795.96,795.28,797.58,793.72,0.12%
2020년 01월 28일,795.02,796.18,797.57,793.48,-0.05%
2020년 01월 27일,795.45,797.7,801.47,794.59,-0.36%
2020년 01월 24일,798.33,800.78,801.17,796.84,-0.21%
2020년 01월 23일,799.98,797.96,804.08,796.42,0.35%
2020년 01월 22일,797.16,800.87,801.29,794.86,-0.36%
2020년 01월 21일,800.07,797,803.31,795.8,0.49%
2020년 01월 20일,796.2,798.62,800.21,794.92,-0.16%
2020년 01월 17일,797.45,800.67,801.43,797.03,-0.32%
2020년 01월 16일,799.98,799.99,804.1,798.72,0.10%
2020년 01월 15일,799.19,799.33,801.72,795.55,0.09%
2020년 01월 14일,798.47,797.32,800.55,793.62,0.24%
2020년 01월 13일,796.57,799.34,800.95,796.69,-0.32%
2020년 01월 10일,799.12,795.34,801.28,793.66,0.56%
2020년 01월 09일,794.65,798.11,800.03,793.53,-0.39%
2020년 01월 08일,797.77,802.28,809.03,796.74,-0.49%
2020년 01월 07일,801.7,810.28,810.88,800.2,-0.99%
2020년 01월 06일,809.74,810.34,814.34,808.06,0.07%
2020년 01월 03일,809.17,809.86,813.23,806.94,-0.01%
2020년 01월 02일,809.22,810.53,812.49,808.02,-0.07%
2020년 01월 01일,809.78,811.09,811.91,809.23,-0.06%
2019년 12월 31일,810.27,809.94,812.4,808.01,0.13%
2019년 12월 30일,809.18,809.92,811.48,806.37,0.07%
2019년 12월 27일,808.6,807.28,811.27,804.93,0.26%
2019년 12월 26일,806.52,803.24,808.47,802.64,0.51%
2019년 12월 25일,802.44,805.1,805.68,802.49,-0.25%
2019년 12월 24일,804.46,805.75,807.14,802.83,-0.06%
2019년 12월 23일,804.94,799.46,806.49,798.73,0.68%
2019년 12월 20일,799.47,801.09,803.88,798.44,-0.08%
2019년 12월 19일,800.11,799.51,802.45,797.74,0.10%
2019년 12월 18일,799.33,797.67,801.29,795.99,0.32%
2019년 12월 17일,796.76,804.49,804.97,795.55,-0.86%
2019년 12월 16일,803.69,810.47,810.82,803.84,-0.56%
2019년 12월 13일,808.2,810.23,813.52,806.16,-0.17%
2019년 12월 12일,809.54,818.03,820.22,807.54,-0.92%
2019년 12월 11일,817.05,810.66,820.51,809.79,0.88%
2019년 12월 10일,809.92,812.31,815.65,810.34,-0.20%
2019년 12월 09일,811.51,810.54,814.34,809.47,0.11%
2019년 12월 06일,810.65,812.51,816.03,810.34,-0.13%
2019년 12월 05일,811.71,815.93,816.76,811.27,-0.50%
2019년 12월 04일,815.82,814.84,817.24,812.96,0.19%
2019년 12월 03일,814.24,808.53,816.82,807.27,0.81%
2019년 12월 02일,807.66,798.89,809.64,796.78,1.13%
2019년 11월 29일,798.63,798.18,801.49,796.74,0.16%
2019년 11월 28일,797.33,797.52,799.27,794.92,0.08%
2019년 11월 27일,796.72,796.51,799.72,794.98,0.13%
2019년 11월 26일,795.72,795.78,800.46,793.31,0.11%
2019년 11월 25일,794.87,801.32,803.03,794.3,-0.68%
2019년 11월 22일,800.29,798.61,801.68,797.77,0.27%
2019년 11월 21일,798.1,796.51,801.91,794.73,0.30%
2019년 11월 20일,795.71,797.7,799.67,794.6,-0.13%
2019년 11월 19일,796.72,794.95,798.63,792.47,0.35%
2019년 11월 18일,793.97,792.67,796.04,791.47,0.15%
2019년 11월 15일,792.81,793.46,794.35,790.07,0.02%
2019년 11월 14일,792.66,801.08,801.58,792.25,-1.00%
2019년 11월 13일,800.67,798.14,802.29,796.78,0.43%
2019년 11월 12일,797.22,798.33,798.78,793.97,-0.05%
2019년 11월 11일,797.65,795.66,800.49,794.11,0.37%
2019년 11월 08일,794.68,796.93,798.25,792.9,-0.18%
2019년 11월 07일,796.13,799.52,799.98,794.49,-0.31%
2019년 11월 06일,798.59,797.46,800.51,796.21,0.24%
2019년 11월 05일,796.71,800.58,802.12,796.41,-0.45%
2019년 11월 04일,800.35,804.7,806.34,799.55,-0.59%
2019년 11월 01일,805.14,806.77,807.25,803.25,-0.10%
2019년 10월 31일,805.96,804.48,807.85,801.84,0.28%
2019년 10월 30일,803.68,801.47,805.29,799.42,0.30%
2019년 10월 29일,801.3,799.16,802.34,796.95,0.36%
2019년 10월 28일,798.41,799.59,800.33,795.64,-0.11%
2019년 10월 25일,799.31,801.44,802.64,798.73,-0.22%
2019년 10월 24일,801.08,802.38,803.81,799.54,-0.06%
2019년 10월 23일,801.57,804.16,805.9,800.61,-0.24%
2019년 10월 22일,803.47,805.33,806.83,802.58,-0.18%
2019년 10월 21일,804.92,808.26,809.13,803.47,-0.31%
2019년 10월 18일,807.46,804.6,809,804.11,0.41%
2019년 10월 17일,804.16,801.91,806.33,800.57,0.40%
2019년 10월 16일,800.93,800.15,803.1,797.95,0.12%
2019년 10월 15일,799.97,802.64,804.27,799.34,-0.23%
2019년 10월 14일,801.84,802.93,804.77,799.36,-0.09%
2019년 10월 11일,802.55,804.87,806.93,800.34,-0.20%
2019년 10월 10일,804.19,806.05,808.23,803.47,-0.11%
2019년 10월 09일,805.08,807.49,809.39,805.11,-0.20%
2019년 10월 08일,806.7,806.16,809.04,803.92,0.18%
2019년 10월 07일,805.25,807.03,809.73,804.21,-0.12%
2019년 10월 04일,806.24,810.32,811.66,805.59,-0.41%
2019년 10월 03일,809.52,808.26,812,807.06,0.28%
2019년 10월 02일,807.29,806.74,809.83,804.07,0.18%
2019년 10월 01일,805.83,809.39,811.08,802.45,-0.30%
2019년 09월 30일,808.23,813.84,814.39,806.73,-0.61%
2019년 09월 27일,813.15,810.08,814.53,808.61,0.46%
2019년 09월 26일,809.4,810.05,814.39,808.45,0.02%
2019년 09월 25일,809.2,813.2,815.05,808.68,-0.39%
2019년 09월 24일,812.4,809.46,815.16,807.55,0.46%
2019년 09월 23일,808.72,808.49,812.28,806.1,0.15%
2019년 09월 20일,807.51,811.88,812.39,804.51,-0.45%
2019년 09월 19일,811.2,813.72,815.11,809.4,-0.21%
2019년 09월 18일,812.91,815.48,816.98,812.78,-0.20%
2019년 09월 17일,814.5,813.58,815.88,811.99,0.22%
2019년 09월 16일,812.71,811.71,815.37,809.11,0.26%
2019년 09월 13일,810.61,811.86,813.55,807.66,-0.07%
2019년 09월 12일,811.18,817.04,819.67,809.07,-0.62%
2019년 09월 11일,816.24,817.49,820.86,815.71,-0.11%
2019년 09월 10일,817.15,818.59,819.47,815.86,-0.08%
2019년 09월 09일,817.78,815.78,820.31,814.74,0.23%
2019년 09월 06일,815.89,816.46,818.02,813.2,0.00%
2019년 09월 05일,815.87,818.79,819.49,815.09,-0.26%
2019년 09월 04일,817.99,818.76,821.02,816.21,0.00%
2019년 09월 03일,817.96,815.97,820.52,812.41,0.40%
2019년 09월 02일,814.7,813.65,817.38,812.61,0.00%
2019년 08월 30일,814.72,813.32,815.95,809.78,0.29%
2019년 08월 29일,812.34,817.03,819.27,812.7,-0.48%
2019년 08월 28일,816.23,818.84,820.69,816.4,-0.22%
2019년 08월 27일,818.05,821.63,823.53,817.49,-0.34%
2019년 08월 26일,820.83,817.22,824.66,811.81,0.22%
2019년 08월 23일,819.03,817.88,822.36,815.91,0.24%
2019년 08월 22일,817.08,815.38,820.05,814.35,0.31%
2019년 08월 21일,814.58,817.7,820.49,813.03,-0.27%
2019년 08월 20일,816.78,820.29,821.88,816.89,-0.31%
2019년 08월 19일,819.3,819.71,822.96,818.11,0.08%
2019년 08월 16일,818.66,822.15,825.71,816.76,-0.33%
2019년 08월 15일,821.35,821.14,826.66,820.09,0.12%
2019년 08월 14일,820.34,820.64,825.03,817.36,0.06%
2019년 08월 13일,819.84,823.28,828.68,818.84,-0.32%
2019년 08월 12일,822.49,824.32,826.57,821.83,-0.09%
2019년 08월 09일,823.2,821.61,827.54,818.84,0.29%
2019년 08월 08일,820.81,819.51,824.35,817.67,0.19%
2019년 08월 07일,819.29,820.4,824.76,811.92,-0.04%
2019년 08월 06일,819.6,823.1,826.56,819.34,-0.34%
2019년 08월 05일,822.43,818.96,827.6,816.4,0.42%
2019년 08월 02일,818.95,813.54,821.17,811.08,0.76%
2019년 08월 01일,812.74,813.34,818.8,812.07,0.02%
2019년 07월 31일,812.6,811.84,816.29,810.66,0.13%
2019년 07월 30일,811.56,817,817.61,810.73,-0.57%
2019년 07월 29일,816.19,819.07,820.04,815.98,-0.15%
2019년 07월 26일,817.38,823.39,824.28,816.39,-0.61%
2019년 07월 25일,822.41,822.17,824.43,819.82,0.13%
2019년 07월 24일,821.36,826.57,827.04,820.76,-0.52%
2019년 07월 23일,825.69,828.04,829.75,824.6,-0.17%
2019년 07월 22일,827.11,828.51,831.32,827.08,-0.05%
2019년 07월 19일,827.51,829.85,831.4,826.21,-0.18%
2019년 07월 18일,829.03,827.56,831.59,825.76,0.27%
2019년 07월 17일,826.8,827.26,829.81,825.63,-0.01%
2019년 07월 16일,826.86,831.01,832.41,826.58,-0.40%
2019년 07월 15일,830.19,825.3,831.55,824.71,0.58%
2019년 07월 12일,825.42,819.55,827.63,818.23,0.80%
2019년 07월 11일,818.86,818.83,820.93,815.98,0.12%
2019년 07월 10일,817.84,819.79,820.53,816.23,-0.13%
2019년 07월 09일,818.92,823.41,823.78,817.65,-0.43%
2019년 07월 08일,822.42,819.87,826.24,818.99,0.33%
2019년 07월 05일,819.75,820.35,823.37,817.45,0.05%
2019년 07월 04일,819.36,822.9,824.35,819.14,-0.33%
2019년 07월 03일,822.08,816.59,824.51,814.96,0.77%
2019년 07월 02일,815.83,809.29,817.09,807.83,0.91%
2019년 07월 01일,808.48,812.61,814.67,806.54,-0.32%
2019년 06월 28일,811.08,811.03,813.23,808.43,0.03%
2019년 06월 27일,810.83,806.66,811.67,805.23,0.65%
2019년 06월 26일,805.61,804.46,808.79,803.41,0.22%
2019년 06월 25일,803.88,803.88,806.58,802.24,0.10%
2019년 06월 24일,803.07,803.07,807.27,802.47,0.16%
2019년 06월 21일,801.82,802.67,806.72,800.61,-0.01%
2019년 06월 20일,801.93,806.91,809.47,800.16,-0.52%
2019년 06월 19일,806.1,807.96,811.03,805.42,-0.13%
2019년 06월 18일,807.15,813.15,813.72,805.8,-0.64%
2019년 06월 17일,812.34,815.46,817.5,811.8,-0.39%
2019년 06월 14일,815.56,818.15,819.15,813.29,-0.22%
2019년 06월 13일,817.34,819.95,822.72,815.8,-0.30%
2019년 06월 12일,819.82,821.03,823.34,819.53,-0.03%
2019년 06월 11일,820.03,824.14,825.64,818.97,-0.44%
2019년 06월 10일,823.62,828.22,830.23,823.47,-0.35%
2019년 06월 07일,826.51,822.47,829.34,820.93,0.59%
2019년 06월 06일,821.66,823.04,825.29,821.62,-0.07%
2019년 06월 05일,822.23,823.72,827.2,820.65,-0.11%
2019년 06월 04일,823.11,823.03,827.75,820.99,0.09%
2019년 06월 03일,822.41,824.36,825.93,819.67,-0.21%
2019년 05월 31일,824.1,822.34,827.47,820.23,0.31%
2019년 05월 30일,821.53,826.03,826.67,819.89,-0.45%
2019년 05월 29일,825.22,823.28,828.92,821.45,0.36%
2019년 05월 28일,822.29,819.83,824.41,818.2,0.44%
2019년 05월 27일,818.66,821.9,823.22,818.45,-0.19%
2019년 05월 24일,820.22,821.08,822.61,818.08,0.01%
2019년 05월 23일,820.15,819.38,821.46,816.73,0.14%
2019년 05월 22일,818.97,821.05,823.21,817.6,-0.16%
2019년 05월 21일,820.3,825.26,827.73,819.03,-0.54%
2019년 05월 20일,824.74,827.6,829.17,822.11,0.61%
2019년 05월 17일,819.73,821.87,824.07,819.36,-0.16%
2019년 05월 16일,821.06,822.21,825.15,819.73,-0.04%
2019년 05월 15일,821.4,824.76,825.96,821.21,-0.29%
2019년 05월 14일,823.77,825.49,827.22,822.82,-0.11%
2019년 05월 13일,824.68,822.71,829.4,820.48,0.33%
2019년 05월 10일,821.94,824.77,828.19,821.26,-0.24%
2019년 05월 09일,823.95,819.88,827.67,818.38,0.60%
2019년 05월 08일,819.06,822.22,822.91,818.87,-0.34%
2019년 05월 07일,821.84,817.23,824.34,816.05,0.66%
2019년 05월 06일,816.42,813.11,820.26,810.66,-0.10%
2019년 05월 03일,817.25,817,820.04,815.97,0.12%
2019년 05월 02일,816.31,817.82,819.43,814.96,-0.06%
2019년 05월 01일,816.83,820.68,821.83,815.71,-0.37%
2019년 04월 30일,819.86,818.53,824.01,817.04,0.28%
2019년 04월 29일,817.59,816.16,819.86,814.55,0.31%
2019년 04월 26일,815.05,813.8,819.36,812.11,0.28%
2019년 04월 25일,812.81,811.03,817.2,810.38,0.31%
