날짜,종가,오픈,고가,저가,변동 %
2020년 11월 20일,0.2079,0.216,0.219,0.208,-5.97%
2020년 11월 19일,0.2211,0.224,0.226,0.219,-3.45%
2020년 11월 18일,0.229,0.221,0.234,0.219,2.32%
2020년 11월 17일,0.2238,0.234,0.237,0.221,-4.48%
2020년 11월 16일,0.2343,0.237,0.242,0.224,-1.10%
2020년 11월 15일,0.2369,0.2369,0.2369,0.2369,0.00%
2020년 11월 13일,0.2369,0.232,0.237,0.221,2.24%
2020년 11월 12일,0.2317,0.253,0.253,0.229,-10.12%
2020년 11월 11일,0.2578,0.2578,0.2578,0.2578,2.06%
2020년 11월 10일,0.2526,0.25,0.258,0.24,7.58%
2020년 11월 09일,0.2348,0.203,0.256,0.195,14.42%
2020년 11월 08일,0.2052,0.2079,0.2079,0.2052,1.28%
2020년 11월 06일,0.2026,0.184,0.211,0.184,7.20%
2020년 11월 05일,0.189,0.181,0.197,0.176,1.45%
2020년 11월 04일,0.1863,0.223,0.223,0.17,-12.49%
2020년 11월 03일,0.2129,0.218,0.218,0.199,6.77%
2020년 11월 02일,0.1994,0.194,0.199,0.189,2.73%
2020년 11월 01일,0.1941,0.1941,0.1941,0.1941,-2.66%
2020년 10월 30일,0.1994,0.194,0.199,0.186,2.84%
2020년 10월 29일,0.1939,0.189,0.199,0.178,5.84%
2020년 10월 28일,0.1832,0.181,0.186,0.175,-1.40%
2020년 10월 27일,0.1858,0.191,0.194,0.183,-4.08%
2020년 10월 26일,0.1937,0.202,0.202,0.188,-5.14%
2020년 10월 23일,0.2042,0.201,0.209,0.194,-1.16%
2020년 10월 22일,0.2066,0.193,0.209,0.191,5.41%
2020년 10월 21일,0.196,0.196,0.204,0.193,2.78%
2020년 10월 20일,0.1907,0.191,0.196,0.188,0.05%
2020년 10월 19일,0.1906,0.191,0.193,0.185,1.44%
2020년 10월 18일,0.1879,0.1906,0.1906,0.1879,1.40%
2020년 10월 16일,0.1853,0.175,0.188,0.172,3.00%
2020년 10월 15일,0.1799,0.175,0.18,0.167,1.52%
2020년 10월 14일,0.1772,0.18,0.18,0.172,0.00%
2020년 10월 13일,0.1772,0.193,0.193,0.177,-9.36%
2020년 10월 12일,0.1955,0.1955,0.1955,0.1955,-2.64%
2020년 10월 09일,0.2008,0.19,0.203,0.188,2.71%
2020년 10월 08일,0.1955,0.196,0.201,0.188,-1.36%
2020년 10월 07일,0.1982,0.188,0.206,0.185,9.50%
2020년 10월 06일,0.181,0.184,0.192,0.178,-4.18%
2020년 10월 05일,0.1889,0.168,0.192,0.16,12.71%
2020년 10월 04일,0.1676,0.1676,0.1676,0.1676,0.00%
2020년 10월 02일,0.1676,0.16,0.17,0.149,5.08%
2020년 10월 01일,0.1595,0.16,0.173,0.154,0.00%
2020년 09월 30일,0.1595,0.152,0.16,0.144,7.19%
2020년 09월 29일,0.1488,0.146,0.152,0.146,0.00%
2020년 09월 28일,0.1488,0.154,0.157,0.146,-1.72%
2020년 09월 27일,0.1514,0.1514,0.1514,0.1514,0.00%
2020년 09월 25일,0.1514,0.159,0.159,0.144,-4.96%
2020년 09월 24일,0.1593,0.162,0.162,0.154,-1.61%
2020년 09월 23일,0.1619,0.157,0.162,0.146,5.20%
2020년 09월 22일,0.1539,0.167,0.167,0.149,-3.33%
2020년 09월 21일,0.1592,0.167,0.178,0.149,-4.67%
2020년 09월 18일,0.167,0.156,0.167,0.151,4.97%
2020년 09월 17일,0.1591,0.162,0.164,0.143,-4.67%
2020년 09월 16일,0.1669,0.162,0.169,0.154,1.64%
2020년 09월 15일,0.1642,0.164,0.167,0.159,1.61%
2020년 09월 14일,0.1616,0.154,0.164,0.151,5.14%
2020년 09월 13일,0.1537,0.1537,0.1537,0.1537,1.72%
2020년 09월 11일,0.1511,0.167,0.167,0.148,-6.50%
2020년 09월 10일,0.1616,0.169,0.18,0.159,-6.05%
2020년 09월 09일,0.172,0.162,0.177,0.162,2.50%
2020년 09월 08일,0.1678,0.173,0.173,0.157,-3.01%
2020년 09월 07일,0.173,0.173,0.173,0.173,-3.03%
2020년 09월 04일,0.1784,0.144,0.184,0.144,21.94%
2020년 09월 03일,0.1463,0.149,0.157,0.138,-1.75%
2020년 09월 02일,0.1489,0.149,0.157,0.146,1.85%
2020년 09월 01일,0.1462,0.154,0.162,0.146,-1.81%
2020년 08월 31일,0.1489,0.149,0.16,0.144,1.85%
2020년 08월 30일,0.1462,0.1462,0.1462,0.1462,-3.50%
2020년 08월 28일,0.1515,0.194,0.199,0.146,-20.72%
2020년 08월 27일,0.1911,0.172,0.194,0.157,7.48%
2020년 08월 26일,0.1778,0.186,0.199,0.178,-2.89%
2020년 08월 25일,0.1831,0.18,0.199,0.178,3.04%
2020년 08월 24일,0.1777,0.167,0.18,0.162,8.02%
2020년 08월 23일,0.1645,0.1645,0.1645,0.1645,0.00%
2020년 08월 21일,0.1645,0.167,0.17,0.154,-1.50%
2020년 08월 20일,0.167,0.167,0.167,0.151,-3.02%
2020년 08월 19일,0.1722,0.164,0.172,0.159,1.53%
2020년 08월 18일,0.1696,0.185,0.185,0.167,-7.12%
2020년 08월 17일,0.1826,0.185,0.185,0.172,0.00%
2020년 08월 16일,0.1826,0.1826,0.1826,0.1826,0.00%
2020년 08월 14일,0.1826,0.198,0.204,0.177,-9.11%
2020년 08월 13일,0.2009,0.19,0.204,0.177,5.51%
2020년 08월 12일,0.1904,0.169,0.196,0.169,9.93%
2020년 08월 11일,0.1732,0.146,0.187,0.144,18.31%
2020년 08월 10일,0.1464,0.141,0.146,0.128,3.83%
2020년 08월 09일,0.141,0.141,0.141,0.141,0.00%
2020년 08월 07일,0.141,0.13,0.144,0.122,8.21%
2020년 08월 06일,0.1303,0.133,0.133,0.114,2.04%
2020년 08월 05일,0.1277,0.117,0.13,0.112,11.72%
2020년 08월 04일,0.1143,0.125,0.125,0.112,-6.54%
