날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 08월 12일,"3,313.00","3,328.60","3,328.60","3,287.00",-,-1.13%
2021년 08월 11일,"3,350.90","3,370.40","3,373.40","3,310.00",-,-0.24%
2021년 08월 10일,"3,358.90","3,406.50","3,409.40","3,337.60",-,-1.20%
2021년 08월 09일,"3,399.80","3,424.40","3,428.10","3,387.60",-,-0.36%
2021년 08월 06일,"3,412.10","3,404.40","3,427.60","3,403.50",-,-0.36%
2021년 08월 05일,"3,424.50","3,447.20","3,451.40","3,408.40",-,-0.36%
2021년 08월 04일,"3,436.90","3,415.10","3,450.40","3,405.70",-,1.18%
2021년 08월 03일,"3,396.70","3,382.10","3,397.80","3,340.40",-,0.57%
2021년 08월 02일,"3,377.50","3,388.50","3,420.30","3,370.80",-,0.62%
2021년 07월 30일,"3,356.50","3,304.50","3,361.20","3,304.50",-,0.70%
2021년 07월 29일,"3,333.20","3,286.40","3,339.90","3,280.40",-,1.86%
2021년 07월 28일,"3,272.40","3,230.10","3,283.20","3,217.00",-,1.76%
2021년 07월 27일,"3,216.00","3,259.00","3,261.70","3,152.60",-,-1.86%
2021년 07월 26일,"3,276.90","3,268.70","3,286.90","3,256.90",-,-0.10%
2021년 07월 23일,"3,280.10","3,273.30","3,281.30","3,239.30",-,0.63%
2021년 07월 22일,"3,259.40","3,268.40","3,282.60","3,240.70",-,-0.89%
2021년 07월 21일,"3,288.80","3,205.90","3,289.20","3,204.60",-,3.06%
2021년 07월 20일,"3,190.90","3,155.60","3,212.20","3,122.10",-,1.38%
2021년 07월 19일,"3,147.50","3,094.80","3,150.00","3,088.30",-,0.07%
2021년 07월 16일,"3,145.40","3,231.10","3,243.80","3,141.40",-,-2.25%
2021년 07월 15일,"3,217.70","3,271.40","3,272.30","3,196.10",-,-2.17%
2021년 07월 14일,"3,289.20","3,338.10","3,358.00","3,283.70",-,-0.35%
2021년 07월 13일,"3,300.80","3,309.60","3,319.10","3,289.70",-,-0.55%
2021년 07월 12일,"3,319.00","3,292.60","3,319.90","3,281.60",-,1.24%
2021년 07월 09일,"3,278.40","3,229.50","3,282.30","3,212.70",-,1.72%
2021년 07월 08일,"3,222.80","3,185.50","3,239.40","3,172.40",-,-1.19%
2021년 07월 07일,"3,261.70","3,331.30","3,331.30","3,250.50",-,-1.40%
2021년 07월 06일,"3,307.90","3,327.00","3,335.90","3,268.10",-,-0.24%
2021년 07월 02일,"3,315.80","3,323.20","3,323.60","3,289.40",-,0.63%
2021년 07월 01일,"3,295.10","3,336.10","3,340.20","3,288.90",-,-1.50%
2021년 06월 30일,"3,345.30","3,346.60","3,351.00","3,326.10",-,-0.11%
2021년 06월 29일,"3,348.90","3,321.60","3,350.00","3,305.00",-,0.77%
2021년 06월 28일,"3,323.10","3,274.40","3,333.70","3,274.10",-,2.52%
2021년 06월 25일,"3,241.50","3,263.40","3,270.20","3,233.60",-,-0.38%
2021년 06월 24일,"3,253.80","3,228.70","3,258.40","3,226.00",-,1.77%
2021년 06월 23일,"3,197.20","3,191.60","3,214.70","3,191.50",-,0.37%
2021년 06월 22일,"3,185.40","3,166.60","3,192.60","3,155.10",-,0.42%
2021년 06월 21일,"3,172.00","3,153.20","3,174.90","3,132.90",-,0.61%
2021년 06월 18일,"3,152.80","3,205.80","3,211.00","3,137.60",-,-2.44%
2021년 06월 17일,"3,231.70","3,189.30","3,255.30","3,189.10",-,0.96%
2021년 06월 16일,"3,201.00","3,237.00","3,246.30","3,173.50",-,-0.77%
