날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 05월 21일,"1,320.10","1,320.10","1,320.10","1,320.10",0.10K,-0.31%
2019년 05월 20일,"1,324.20","1,324.20","1,324.20","1,324.20",0.08K,0.13%
2019년 05월 17일,"1,322.50","1,322.50","1,322.50","1,322.50",0.21K,-0.80%
2019년 05월 16일,"1,333.10","1,333.10","1,333.10","1,333.10",0.11K,-0.85%
2019년 05월 15일,"1,344.50","1,344.50","1,344.50","1,344.50",0.06K,0.08%
2019년 05월 14일,"1,343.40","1,343.40","1,343.40","1,343.40",0.20K,-0.50%
2019년 05월 13일,"1,350.20","1,350.20","1,350.20","1,350.20",0.12K,0.97%
2019년 05월 10일,"1,337.20","1,337.20","1,337.20","1,337.20",0.05K,0.16%
2019년 05월 09일,"1,335.10","1,335.10","1,335.10","1,335.10",0.04K,0.28%
2019년 05월 08일,"1,331.40","1,338.00","1,338.00","1,338.00",0.05K,-0.33%
2019년 05월 07일,"1,335.80","1,335.80","1,335.80","1,335.80",0.12K,0.13%
2019년 05월 06일,"1,334.00","1,334.00","1,334.00","1,334.00",0.01K,0.17%
2019년 05월 03일,"1,331.70","1,331.70","1,331.70","1,331.70",0.02K,0.72%
2019년 05월 02일,"1,322.20","1,323.00","1,323.00","1,323.00",0.00K,-0.90%
2019년 05월 01일,"1,334.20","1,334.20","1,334.20","1,334.20",0.26K,-0.11%
2019년 04월 30일,"1,335.70","1,335.70","1,335.70","1,335.70",0.21K,0.31%
2019년 04월 29일,"1,331.60","1,331.60","1,331.60","1,331.60",0.14K,-0.57%
2019년 04월 26일,"1,339.20","1,339.20","1,339.20","1,339.20",0.38K,0.68%
2019년 04월 25일,"1,330.20","1,330.20","1,330.20","1,330.20",0.00K,0.02%
2019년 04월 24일,"1,329.90","1,329.90","1,329.90","1,329.90",0.15K,0.46%
2019년 04월 23일,"1,323.80","1,323.80","1,323.80","1,323.80",0.01K,-0.35%
2019년 04월 22일,"1,328.50","1,328.50","1,328.50","1,328.50",0.00K,3.96%
2019년 04월 19일,"1,277.90","1,277.90","1,277.90","1,277.90",-,-3.69%
2019년 04월 18일,"1,326.90","1,326.90","1,326.90","1,326.90",0.08K,-0.05%
2019년 04월 17일,"1,327.60","1,327.60","1,327.60","1,327.60",0.06K,-0.04%
2019년 04월 16일,"1,328.10","1,329.10","1,329.10","1,329.00",0.05K,-1.07%
2019년 04월 15일,"1,342.40","1,342.40","1,342.40","1,342.40",0.02K,-0.29%
2019년 04월 12일,"1,346.30","1,346.30","1,346.30","1,346.30",0.23K,0.22%
2019년 04월 11일,"1,343.40","1,356.60","1,356.60","1,356.60",0.00K,-1.50%
2019년 04월 10일,"1,363.90","1,363.90","1,363.90","1,363.90",0.08K,0.40%
2019년 04월 09일,"1,358.40","1,358.40","1,358.40","1,358.40",0.00K,0.48%
2019년 04월 08일,"1,351.90","1,351.90","1,351.90","1,351.90",0.00K,0.50%
2019년 04월 05일,"1,345.20","1,345.20","1,345.20","1,345.20",0.05K,0.13%
2019년 04월 04일,"1,343.50","1,343.50","1,343.50","1,343.50",0.04K,-0.04%
2019년 04월 03일,"1,344.00","1,344.00","1,344.00","1,344.00",0.05K,0.01%
2019년 04월 02일,"1,343.90","1,340.80","1,343.20","1,340.80",0.00K,0.09%
2019년 04월 01일,"1,342.70","1,342.70","1,342.70","1,342.70",0.03K,-0.25%
