날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 09월 30일,"3,218.05","3,232.71","3,244.91","3,202.34",15.35B,-0.20%
2020년 09월 29일,"3,224.36","3,231.85","3,242.79","3,219.79",15.13B,0.21%
2020년 09월 28일,"3,217.53","3,224.98","3,238.18","3,210.89",15.60B,-0.06%
2020년 09월 25일,"3,219.42","3,234.37","3,239.47","3,208.03",16.48B,-0.12%
2020년 09월 24일,"3,223.18","3,262.88","3,265.35","3,221.24",20.67B,-1.72%
2020년 09월 23일,"3,279.71","3,278.84","3,289.76","3,264.89",16.92B,0.17%
2020년 09월 22일,"3,274.30","3,290.67","3,320.23","3,265.70",21.40B,-1.29%
2020년 09월 21일,"3,316.94","3,348.90","3,350.59","3,313.07",21.65B,-0.63%
2020년 09월 18일,"3,338.09","3,270.91","3,338.32","3,268.53",25.63B,2.07%
2020년 09월 17일,"3,270.44","3,277.32","3,290.41","3,248.50",20.29B,-0.41%
2020년 09월 16일,"3,283.92","3,293.17","3,302.46","3,271.07",20.04B,-0.36%
2020년 09월 15일,"3,295.68","3,277.13","3,297.69","3,263.75",19.77B,0.51%
2020년 09월 14일,"3,278.81","3,275.92","3,283.53","3,261.15",21.39B,0.57%
2020년 09월 11일,"3,260.35","3,225.78","3,262.50","3,220.54",22.17B,0.79%
2020년 09월 10일,"3,234.82","3,282.23","3,285.47","3,227.64",31.25B,-0.61%
2020년 09월 09일,"3,254.63","3,281.00","3,289.61","3,238.56",35.15B,-1.86%
2020년 09월 08일,"3,316.42","3,301.22","3,324.39","3,276.44",27.11B,0.72%
2020년 09월 07일,"3,292.59","3,349.92","3,368.24","3,285.63",26.06B,-1.87%
2020년 09월 04일,"3,355.37","3,336.41","3,360.11","3,328.55",22.16B,-0.87%
2020년 09월 03일,"3,384.98","3,404.03","3,425.63","3,374.26",25.53B,-0.58%
2020년 09월 02일,"3,404.80","3,420.47","3,421.40","3,377.21",26.15B,-0.17%
2020년 09월 01일,"3,410.61","3,389.74","3,410.61","3,381.71",24.70B,0.44%
2020년 08월 31일,"3,395.68","3,416.55","3,442.74","3,395.47",32.35B,-0.24%
2020년 08월 28일,"3,403.81","3,346.29","3,405.88","3,339.65",27.13B,1.60%
2020년 08월 27일,"3,350.11","3,333.49","3,351.83","3,312.99",23.71B,0.61%
2020년 08월 26일,"3,329.74","3,371.81","3,382.60","3,320.14",29.45B,-1.30%
2020년 08월 25일,"3,373.58","3,392.88","3,408.87","3,364.16",27.71B,-0.36%
