날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 07월 23일,"3,550.40","3,571.72","3,571.85","3,541.51",44.64B,-0.68%
2021년 07월 22일,"3,574.73","3,563.66","3,576.47","3,558.29",38.11B,0.34%
2021년 07월 21일,"3,562.66","3,543.05","3,569.09","3,543.05",33.90B,0.73%
2021년 07월 20일,"3,536.79","3,515.07","3,538.64","3,509.19",29.38B,-0.07%
2021년 07월 19일,"3,539.12","3,530.49","3,544.88","3,506.34",33.68B,-0.01%
2021년 07월 16일,"3,539.30","3,559.53","3,566.00","3,537.73",36.60B,-0.71%
2021년 07월 15일,"3,564.59","3,519.06","3,565.93","3,514.26",36.33B,1.02%
2021년 07월 14일,"3,528.50","3,560.83","3,560.83","3,525.49",37.22B,-1.07%
2021년 07월 13일,"3,566.52","3,547.59","3,567.48","3,542.82",36.24B,0.53%
2021년 07월 12일,"3,547.84","3,545.20","3,565.03","3,527.39",40.36B,0.67%
2021년 07월 09일,"3,524.09","3,512.23","3,529.31","3,485.05",34.99B,-0.04%
2021년 07월 08일,"3,525.50","3,557.22","3,558.68","3,521.06",35.09B,-0.79%
2021년 07월 07일,"3,553.72","3,508.59","3,557.88","3,504.47",31.88B,0.66%
2021년 07월 06일,"3,530.26","3,533.13","3,538.35","3,496.93",31.41B,-0.11%
2021년 07월 05일,"3,534.32","3,516.92","3,534.32","3,510.58",28.81B,0.44%
2021년 07월 02일,"3,518.76","3,569.89","3,569.89","3,514.34",29.19B,-1.95%
2021년 07월 01일,"3,588.78","3,600.55","3,607.70","3,573.94",29.19B,-0.07%
2021년 06월 30일,"3,591.20","3,572.62","3,594.12","3,569.50",26.82B,0.50%
2021년 06월 29일,"3,573.18","3,601.68","3,601.83","3,570.53",30.61B,-0.92%
2021년 06월 28일,"3,606.37","3,612.25","3,614.36","3,594.22",32.13B,-0.03%
2021년 06월 25일,"3,607.56","3,567.38","3,614.30","3,564.52",34.61B,1.15%
2021년 06월 24일,"3,566.65","3,568.58","3,570.49","3,548.82",33.54B,0.01%
2021년 06월 23일,"3,566.22","3,559.40","3,577.47","3,549.85",31.07B,0.25%
2021년 06월 22일,"3,557.41","3,539.79","3,560.19","3,536.81",30.75B,0.80%
2021년 06월 21일,"3,529.18","3,515.50","3,540.30","3,504.01",28.09B,0.12%
2021년 06월 18일,"3,525.10","3,520.50","3,535.62","3,503.18",29.67B,-0.01%
2021년 06월 17일,"3,525.60","3,508.32","3,534.20","3,507.35",27.72B,0.21%
2021년 06월 16일,"3,518.33","3,556.71","3,561.09","3,513.56",31.26B,-1.07%
2021년 06월 15일,"3,556.56","3,587.47","3,592.95","3,547.19",34.92B,-0.92%
2021년 06월 11일,"3,589.75","3,614.11","3,614.40","3,587.15",36.06B,-0.58%
2021년 06월 10일,"3,610.86","3,587.53","3,624.34","3,584.13",31.82B,0.54%
2021년 06월 09일,"3,591.40","3,576.80","3,598.71","3,572.64",29.83B,0.32%
