날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 01월 01일,387.25,387.25,387.25,387.25,-,-0.13%
2019년 12월 31일,387.75,388.25,389.75,386.25,85.10K,-0.13%
2019년 12월 30일,388.25,389.25,392,386.75,123.53K,-0.45%
2019년 12월 27일,390,388,391,388,85.21K,0.39%
2019년 12월 26일,388.5,388,389,386.5,49.93K,0.06%
2019년 12월 25일,388.25,388.25,388.25,388.25,-,0.19%
2019년 12월 24일,387.5,388.5,389,387,50.42K,-0.32%
2019년 12월 23일,388.75,388,390.25,387.25,82.26K,0.26%
2019년 12월 20일,387.75,386.5,389.5,386,85.33K,0.32%
2019년 12월 19일,386.5,387,389,385,99.13K,-0.13%
2019년 12월 18일,387,389.25,390,385.75,125.53K,-0.77%
2019년 12월 17일,390,387.5,390.5,386.25,118.24K,0.52%
2019년 12월 16일,388,383.5,389.5,383.25,180.90K,5.94%
2019년 12월 13일,366.25,373.75,374.5,366.25,0.09K,-0.20%
2019년 12월 12일,367,358.25,368.75,358.25,0.66K,2.59%
2019년 12월 11일,357.75,363,363,357,0.26K,-1.51%
2019년 12월 10일,363.25,365.75,367,362.5,0.89K,-0.68%
2019년 12월 09일,365.75,366.5,368,365,0.64K,-0.20%
2019년 12월 06일,366.5,364.75,368.75,364.75,0.96K,0.27%
2019년 12월 05일,365.5,368.5,369.75,365.25,3.03K,-0.88%
2019년 12월 04일,368.75,371.75,373.5,367.75,2.99K,-0.87%
2019년 12월 03일,372,373.75,376.25,371.5,4.94K,-0.40%
2019년 12월 02일,373.5,371.75,375.5,370,6.28K,0.61%
2019년 11월 29일,371.25,365.75,372.25,365,15.51K,-0.60%
2019년 11월 28일,373.5,373.5,373.5,373.5,-,2.96%
2019년 11월 27일,362.75,367.25,368.75,362.25,163.97K,-1.29%
2019년 11월 26일,367.5,369.75,370.5,367,207.68K,-0.81%
2019년 11월 25일,370.5,368.75,372.75,368.25,199.30K,0.47%
2019년 11월 22일,368.75,368,370.25,367.5,228.11K,0.07%
2019년 11월 21일,368.5,366.75,369.75,366.25,158.70K,0.48%
2019년 11월 20일,366.75,369.75,370.5,365.75,297.02K,-0.88%
2019년 11월 19일,370,367.75,373,367.75,202.02K,0.61%
2019년 11월 18일,367.75,371,371.75,367.5,206.27K,-0.94%
2019년 11월 15일,371.25,375.5,376.5,370.75,140.18K,-1.20%
2019년 11월 14일,375.75,375.25,377.5,374.5,144.89K,0.13%
2019년 11월 13일,375.25,377,377.75,375,195.98K,-0.66%
2019년 11월 12일,377.75,373.5,378,372.75,220.51K,1.21%
2019년 11월 11일,373.25,376,377,372.5,211.22K,-1.06%
2019년 11월 08일,377.25,375.25,383.75,372.5,343.77K,0.53%
2019년 11월 07일,375.25,379.25,380,373.75,219.15K,-0.92%
2019년 11월 06일,378.75,382.25,385,377.5,185.34K,-0.79%
2019년 11월 05일,381.75,383.25,384.75,380.5,157.13K,-0.39%
2019년 11월 04일,383.25,386.75,387.75,383,145.37K,-1.54%
2019년 11월 01일,389.25,389.25,391.75,386.25,151.94K,-0.19%
2019년 10월 31일,390,390.25,391,384.75,176.19K,-0.19%
2019년 10월 30일,390.75,385.75,391.25,385.25,177.03K,1.17%
2019년 10월 29일,386.25,383.5,387.5,382,153.73K,0.59%
2019년 10월 28일,384,386,386.5,383.25,122.79K,-0.71%
2019년 10월 25일,386.75,387,390,385.75,131.68K,0.00%
2019년 10월 24일,386.75,388.5,390.75,385.25,130.66K,-0.26%
2019년 10월 23일,387.75,387.75,389.5,384,117.56K,-0.06%
2019년 10월 22일,388,387,392.5,385,136.69K,0.19%
2019년 10월 21일,387.25,390,393.75,386.5,150.19K,-0.96%
2019년 10월 18일,391,394,395.75,389.75,122.01K,-0.95%
2019년 10월 17일,394.75,391.75,397.25,391.5,141.53K,0.77%
2019년 10월 16일,391.75,392,392.75,387.5,139.68K,-0.38%
2019년 10월 15일,393.25,397,398.5,392.5,143.68K,-1.13%
2019년 10월 14일,397.75,401.25,402.5,393.25,170.71K,0.00%
2019년 10월 11일,397.75,380.75,398.75,380.5,272.44K,4.60%
2019년 10월 10일,380.25,392.75,395,378.25,297.05K,-3.55%
2019년 10월 09일,394.25,395.5,397.25,393,140.85K,-0.38%
2019년 10월 08일,395.75,387.5,396.5,386,200.46K,2.26%
2019년 10월 07일,387,387.5,387.75,385,100.42K,0.58%
2019년 10월 04일,384.75,388,389,383.75,116.34K,-1.03%
2019년 10월 03일,388.75,387,390.75,385.5,125.49K,0.26%
2019년 10월 02일,387.75,390.5,391.75,385.5,158.92K,-1.21%
2019년 10월 01일,392.5,386.75,392.75,385.25,227.07K,1.16%
2019년 09월 30일,388,372,388.25,371.5,337.25K,4.44%
2019년 09월 27일,371.5,371.25,373,369.75,90.80K,-0.27%
2019년 09월 26일,372.5,373.5,375.75,368.25,175.42K,-0.47%
2019년 09월 25일,374.25,375.25,377.5,372.25,119.19K,-0.13%
2019년 09월 24일,374.75,372,376,370.25,144.29K,0.40%
2019년 09월 23일,373.25,371.25,374.5,371,100.44K,0.67%
2019년 09월 20일,370.75,372.75,374.5,369.5,133.00K,-0.54%
2019년 09월 19일,372.75,371.5,373.75,369.5,117.07K,0.40%
2019년 09월 18일,371.25,367.75,372,365.75,126.83K,0.88%
2019년 09월 17일,368,374,374.25,366,154.63K,-1.60%
2019년 09월 16일,374,372,374.75,367.5,133.44K,5.20%
2019년 09월 13일,355.5,358.5,358.5,358.5,0.12K,0.28%
2019년 09월 12일,354.5,349.75,353.75,349.5,0.15K,1.79%
2019년 09월 11일,348.25,349.75,349.75,344.75,0.33K,-0.07%
2019년 09월 10일,348.5,344,349.5,344,0.31K,2.27%
2019년 09월 09일,340.75,343.25,343.25,340,0.94K,-0.51%
2019년 09월 06일,342.5,347.5,348.25,341.5,1.36K,-1.15%
2019년 09월 05일,346.5,346.5,349.75,346.5,1.81K,0.14%
2019년 09월 04일,346,350.5,351,344.5,3.85K,-1.07%
2019년 09월 03일,349.75,358.75,359,349,5.34K,-2.30%
2019년 08월 30일,358,359.75,364.5,356.75,11.24K,-0.49%
2019년 08월 29일,359.75,363,369,357.5,122.79K,-0.83%
2019년 08월 28일,362.75,357.25,365.5,355.25,172.93K,1.61%
2019년 08월 27일,357,359,360,356.75,129.89K,-0.42%
2019년 08월 26일,358.5,358,362,357,122.54K,-0.35%
2019년 08월 23일,359.75,362.75,363,357.5,169.87K,-0.96%
2019년 08월 22일,363.25,363,366.5,359,99.25K,0.21%
2019년 08월 21일,362.5,360,364,357,125.86K,0.83%
2019년 08월 20일,359.5,366.5,370.25,359.25,89.47K,-1.51%
2019년 08월 19일,365,367.25,368.25,363.25,78.54K,-1.62%
2019년 08월 16일,371,361.5,371.25,361.25,104.81K,2.84%
2019년 08월 15일,360.75,360.25,363.75,358.25,108.78K,0.49%
2019년 08월 14일,359,366.25,370.5,358.5,185.09K,-1.91%
2019년 08월 13일,366,379,379,365.5,312.97K,-5.00%
