날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 07일,"13,688.80","13,675.30","13,733.00","13,653.60",819.48M,-0.07%
2021년 04월 06일,"13,698.40","13,681.70","13,776.70","13,674.30",870.63M,-0.05%
2021년 04월 05일,"13,705.60","13,594.90","13,720.60","13,582.80",916.61M,1.67%
2021년 04월 01일,"13,480.10","13,414.30","13,487.10","13,404.20",939.16M,1.76%
2021년 03월 31일,"13,246.90","13,122.60","13,325.50","13,118.40",1.21B,1.54%
2021년 03월 30일,"13,045.40","13,008.80","13,075.80","12,922.60",983.51M,-0.11%
2021년 03월 29일,"13,059.60","13,104.00","13,143.40","12,968.20",1.06B,-0.60%
2021년 03월 26일,"13,138.70","12,996.00","13,149.60","12,878.70",1.14B,1.24%
2021년 03월 25일,"12,977.70","12,844.60","13,021.90","12,786.80",1.17B,0.12%
2021년 03월 24일,"12,961.90","13,289.20","13,292.90","12,961.40",1.19B,-2.01%
2021년 03월 23일,"13,227.70","13,381.40","13,405.10","13,202.40",1.19B,-1.12%
2021년 03월 22일,"13,377.50","13,278.80","13,455.60","13,278.80",1.11B,1.23%
2021년 03월 19일,"13,215.20","13,119.90","13,252.40","13,039.50",2.93B,0.76%
2021년 03월 18일,"13,116.20","13,349.20","13,384.50","13,101.90",1.22B,-3.02%
2021년 03월 17일,"13,525.20","13,336.90","13,595.00","13,272.70",1.18B,0.40%
2021년 03월 16일,"13,471.60","13,523.20","13,620.70","13,397.10",1.10B,0.09%
2021년 03월 15일,"13,459.70","13,323.50","13,460.30","13,272.50",1.13B,1.05%
2021년 03월 12일,"13,319.90","13,222.80","13,324.70","13,158.70",1.09B,-0.59%
2021년 03월 11일,"13,398.70","13,273.30","13,433.60","13,246.30",1.19B,2.52%
2021년 03월 10일,"13,068.80","13,234.70","13,277.10","13,035.40",1.22B,-0.04%
2021년 03월 09일,"13,073.80","12,923.10","13,151.50","12,882.50",1.28B,3.69%
2021년 03월 08일,"12,609.20","12,904.30","13,001.00","12,599.20",1.27B,-2.41%
2021년 03월 05일,"12,920.10","12,860.00","12,941.20","12,397.10",1.56B,1.55%
2021년 03월 04일,"12,723.50","12,954.00","13,068.70","12,554.00",1.58B,-2.11%
2021년 03월 03일,"12,997.80","13,336.30","13,372.50","12,995.10",1.16B,-2.70%
2021년 03월 02일,"13,358.80","13,599.40","13,601.30","13,352.00",1.08B,-1.69%
2021년 03월 01일,"13,588.80","13,406.20","13,596.60","13,362.70",1.10B,3.01%
2021년 02월 26일,"13,192.30","13,232.90","13,368.10","13,024.50",1.44B,0.56%
2021년 02월 25일,"13,119.40","13,512.60","13,602.90","13,066.40",1.33B,-3.52%
2021년 02월 24일,"13,598.00","13,400.30","13,607.40","13,286.60",1.24B,0.99%
2021년 02월 23일,"13,465.20","13,262.60","13,526.10","13,004.00",1.64B,-0.50%
2021년 02월 22일,"13,533.00","13,714.20","13,757.10","13,531.00",1.37B,-2.46%
2021년 02월 19일,"13,874.50","13,929.20","13,985.60","13,842.60",1.31B,0.07%
2021년 02월 18일,"13,865.40","13,814.70","13,906.00","13,714.30",1.24B,-0.72%
2021년 02월 17일,"13,965.50","13,911.60","13,976.40","13,804.30",1.35B,-0.58%
2021년 02월 16일,"14,047.50","14,152.20","14,175.10","13,995.40",1.49B,-0.34%
2021년 02월 12일,"14,095.50","13,979.20","14,102.00","13,937.70",1.32B,0.50%
2021년 02월 11일,"14,025.80","14,045.20","14,058.90","13,916.80",1.98B,0.38%
2021년 02월 10일,"13,972.50","14,093.30","14,109.10","13,845.50",1.83B,-0.25%
2021년 02월 09일,"14,007.70","13,966.80","14,044.90","13,966.60",1.52B,0.14%
2021년 02월 08일,"13,987.60","13,937.10","13,987.70","13,894.10",1.61B,0.95%
2021년 02월 05일,"13,856.30","13,824.90","13,878.20","13,761.70",1.26B,0.57%
2021년 02월 04일,"13,777.70","13,674.10","13,778.40","13,631.60",1.29B,1.23%
2021년 02월 03일,"13,610.50","13,718.30","13,723.80","13,585.30",1.36B,-0.02%
2021년 02월 02일,"13,612.80","13,543.10","13,652.70","13,535.90",1.43B,1.56%
2021년 02월 01일,"13,403.40","13,226.20","13,431.50","13,132.50",1.39B,2.55%
2021년 01월 29일,"13,070.70","13,284.70","13,322.00","12,985.10",1.78B,-2.00%
2021년 01월 28일,"13,337.20","13,323.30","13,507.60","13,316.50",2.16B,0.50%
2021년 01월 27일,"13,270.60","13,486.60","13,538.40","13,192.90",2.19B,-2.61%
2021년 01월 26일,"13,626.10","13,681.70","13,702.70","13,603.20",1.25B,-0.07%
2021년 01월 25일,"13,636.00","13,681.20","13,729.00","13,368.70",1.43B,0.69%
2021년 01월 22일,"13,543.10","13,474.80","13,567.10","13,463.70",1.13B,0.09%
2021년 01월 21일,"13,530.90","13,521.50","13,560.40","13,454.10",1.34B,0.55%
2021년 01월 20일,"13,457.20","13,342.50","13,486.10","13,329.80",1.29B,1.97%
2021년 01월 19일,"13,197.20","13,132.70","13,206.90","13,078.70",1.22B,1.53%
2021년 01월 15일,"12,998.50","13,099.90","13,139.80","12,949.80",1.26B,-0.87%
