회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본금(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일
(주)경동도시가스,267290,2018,0,0,3.07,6.77,3.22,110.53,2.13,11792658,25099895,20990395,2017-05-12
(주)경동도시가스,267290,2019,-3.35,-22.28,2.54,5.09,2.49,99.32,2.01,11792658,20036005,16312790,2017-05-12
(주)경동도시가스,267290,2020,-19.24,-30.33,1.91,3.37,1.81,74.19,4.15,14738515,12200293,11365861,2017-05-12
(주)경동도시가스,267290,2021,8.82,45.28,2.92,4.64,2.68,71.79,3.37,14738515,20260857,16512006,2017-05-12
(주)경동인베스트,12320,2018,619.15,-87.04,11.91,0.42,0.41,2.66,0,11825115,373717,1261052,1997-03-07
(주)경동인베스트,12320,2019,60.52,-7.3,18.4,0.38,0.37,2.99,0.09,11825115,926631,1168990,1997-03-07
(주)경동인베스트,12320,2020,2.99,82.74,32.16,0.69,0.68,0.52,0.08,11825115,1668528,2136196,1997-03-07
(주)경동인베스트,12320,2021,5.33,-66.25,32.57,0.24,0.23,0.29,0.07,11825115,1779624,721033,1997-03-07
(주)경방,50,2018,-6.01,12.36,13.95,2.03,1.18,67.3,16.82,13707635,19449703,14368788,1956-03-03
(주)경방,50,2019,-6.08,7.3,14.2,2.12,1.25,70.4,16.96,13707635,18599254,15417940,1956-03-03
(주)경방,50,2020,-16.17,5.27,9.57,2.18,1.23,83.37,21.85,13707635,10505070,16230033,1956-03-03
(주)경방,50,2021,12.86,-18.01,7.69,1.76,1.03,59.53,15.8,13707635,9532938,13306369,1956-03-03
(주)경보제약,214390,2018,1.54,-2.77,10.24,5.65,3.7,50.67,17.16,11953430,10036767,7851281,2015-06-29
(주)경보제약,214390,2019,-0.18,-27.97,7.09,3.85,2.53,53.74,20.15,11953430,6934541,5655087,2015-06-29
(주)경보제약,214390,2020,14.52,16.73,6.25,4.36,2.68,71.26,27.7,11953430,6994734,6601401,2015-06-29
(주)경보제약,214390,2021,-19.86,-97.97,0.41,0.09,0.05,62.45,27.43,11953430,372361,133793,2015-06-29
(주)경인양행,12610,2018,12,358.75,4.04,1.88,1.12,71.21,32.05,20198183,4464286,3606013,1995-10-05
(주)경인양행,12610,2019,23.57,27.86,5.28,2.33,1.28,93.11,37.23,20198183,7207700,4610593,1995-10-05
(주)경인양행,12610,2020,-23.29,0,-1.9,-1.76,-0.9,98.25,42.38,20453183,-1991516,-3499165,1995-10-05
(주)경인양행,12610,2021,27.01,0,5.31,5.04,2.43,117.41,44.36,20748183,7067290,9985271,1995-10-05
(주)고려시멘트,198440,2018,-2.3,0,3.98,3.93,2.7,51.91,11.33,3197996,1688202,3156621,2014-08-13
(주)고려시멘트,198440,2019,4.59,-33.12,3.11,2.45,1.62,50.93,10.96,3197996,1378429,2110991,2014-08-13
(주)고려시멘트,198440,2020,-23.88,-79.76,-0.65,0.49,0.35,29.23,1.25,3197996,-218935,427194,2014-08-13
(주)고려시멘트,198440,2021,5.71,517.5,7.22,2.88,2.3,22.23,1.18,3197996,2574872,2637917,2014-08-13
(주)고바이오랩,348150,2020,,,,,,,,6677883,-4601786,-47030824,2020-11-18
(주)고바이오랩,348150,2021,0,0,-421.4,-15.21,-14.81,2.7,0.09,8080772,-5286158,-7760231,2020-11-18
(주)고영테크놀러지,98460,2018,17.68,61.27,21.09,11.81,9.33,28.35,0,6843976,22845469,22534111,2008-06-03
(주)고영테크놀러지,98460,2019,-7.22,-13.01,19.76,8.69,6.99,20.62,1.75,6843976,19851338,19602435,2008-06-03
(주)고영테크놀러지,98460,2020,-23.32,-44.2,9.37,4.45,3.73,17.66,2.77,6865476,7222953,10937971,2008-06-03
(주)고영테크놀러지,98460,2021,50.34,85.79,18.44,7.79,6.45,23.6,2.42,6865476,21358602,20321706,2008-06-03
(주)골드퍼시픽,38530,2018,-13.31,0,5.75,1.84,0.68,119.14,49.18,4433074,276967,199130,2000-06-09
(주)골드퍼시픽,38530,2019,-61.19,0,-96.01,-8.41,-4.69,66.56,38.74,16550716,-1793291,-2619687,2000-06-09
(주)골드퍼시픽,38530,2020,276.59,0,-2.52,-45.11,-21.78,205.3,61.88,22319196,-177511,-15046641,2000-06-09
(주)골드퍼시픽,38530,2021,-0.5,0,-12.4,-11.45,-7.03,24.04,16.79,39692772,-868087,-5219420,2000-06-09
(주)골프존,215000,2018,-5.75,-78.65,20.16,7.6,5.63,34.24,12.13,3137708,17745216,13660241,2015-04-03
(주)골프존,215000,2019,33.97,52.9,22.81,10.54,7.75,37.64,10.14,3137708,26886338,20885914,2015-04-03
(주)골프존,215000,2020,16.15,-1.06,21.33,9.84,6.78,52.6,16.32,3137708,29204162,20665296,2015-04-03
(주)골프존,215000,2021,42.54,114.98,30.31,18.86,12.4,51.63,13.39,3137708,59153896,44426587,2015-04-03
(주)골프존뉴딘홀딩스,121440,2018,-3.33,0,-10.1,-0.34,-0.31,11.7,9.32,21418409,-1268415,-1667692,2011-05-20
(주)골프존뉴딘홀딩스,121440,2019,9,0,-32.02,-1.34,-1.17,18.1,11.38,21418409,-4384415,-6343512,2011-05-20
(주)골프존뉴딘홀딩스,121440,2020,73.7,0,50.77,1.61,1.35,20.09,11.69,21418409,12074890,7447335,2011-05-20
(주)골프존뉴딘홀딩스,121440,2021,67.36,255.16,75.66,5.61,4.68,19.64,10.35,21418409,30115416,26449860,2011-05-20
(주)광림,14200,2018,-35,73435.64,1.51,75.77,34.74,132.31,4.94,24249243,508479,162820413,1993-07-07
(주)광림,14200,2019,26.91,-96.57,5.83,2.4,1.05,118.82,20.12,24812095,2496956,5580172,1993-07-07
(주)광림,14200,2020,-6.17,-42.51,5.75,3.37,1.43,170.94,41.2,26461117,2312536,3208300,1993-07-07
(주)광림,14200,2021,13.17,0,4.8,-33.09,-14.29,110.36,19.68,26461117,2183946,-30104899,1993-07-07
(주)광명전기,17040,2018,-9.47,0,0.63,2.19,1.45,51.43,11.03,21668808,270642,1874730,1990-09-14
(주)광명전기,17040,2019,63.83,102.93,5.67,4.26,2.84,49.03,10.7,21668808,4012221,3804371,1990-09-14
(주)광명전기,17040,2020,-19.2,-6.69,5.29,3.76,2.56,45.2,10.33,21668808,3026867,3549805,1990-09-14
(주)광명전기,17040,2021,-20.3,-27.93,-0.62,2.58,1.78,45.51,5.91,21668808,-281210,2558188,1990-09-14
(주)광주신세계,37710,2018,-2.31,-8.17,24.26,3.78,3.34,9.5,0,8000000,24288813,21809105,2002-02-07
