ticker,company_name,listingdate,fiscal_year,market_cap,sales_growth_rate,net_profit_growth_rate,operating_profit_rate,roe,roa,debt_ratio,20_06_close_price,20_06_rate_of_return,20_09_close_price,20_09_rate_of_return,20_12_close_price,20_12_rate_of_return,21_03_close_price,21_03_rate_of_return,21_06_close_price,PER,PER_cal,PBR,PCR,PSR,DYR
131030,(주)디에이치피코리아,2010-12-03,2021,1.38482E+11,-13.97,-60.58,16.76,3.04,2.76,10.65,7900,0.058227848,7850,0.064968153,8360,0,7940,5.289672544,8360,9.61,38.15789474,1.16,7.94,2.28,1.2
33540,(주)파라텍,1997-12-26,2021,1.38417E+11,-30.84,0,-19.68,-11.91,-6.05,100.77,2520,0.293650794,2796,0.165951359,5400,-39.62962963,3660,-10.92896175,3260,6.21,-7.304785894,0.87,8.18,0.48,0
36620,감성코퍼레이션(주),2000-01-11,2021,1.38409E+11,14.67,26.81,3.82,3.22,2.16,47.1,705.2863586,1.651405315,562.101773,2.326799682,662.0210547,182.4683576,807.6843615,131.5260873,1870,123.19,128.5714286,4.14,95.68,11.85,0
500,가온전선(주),1987-06-08,2021,1.38332E+11,2.46,-0.77,1.43,1.65,0.72,134.28,16050,1.07165109,21550,0.542923434,21800,52.52293578,30050,10.64891847,33250,17.79,32.12121212,0.53,22.84,0.18,1.8
208140,(주)정다운,2014-12-17,2021,1.38252E+11,27.27,0,13.91,13.6,6.28,89.51,1464.169978,1.90266845,1536.747369,1.765581439,2735,55.39305302,3695,15.0202977,4250,0,14.70588235,2,0,1.12,0
13870,지엠비코리아(주),2012-11-20,2021,1.38083E+11,29.72,0,0.95,1.76,0.9,99.25,5300,0.366037736,7290,-0.006858711,7950,-8.93081761,7300,-0.821917808,7240,0,38.06818182,0.67,12.84,0.34,0
46390,(주)삼화네트웍스,2001-01-11,2021,1.37722E+11,-80.91,0,-16.26,-1.29,-1.08,22.79,1380,1.311594203,1460,1.184931507,2180,46.33027523,5050,-36.83168317,3190,0,-366.6666667,4.73,93.79,4.94,0
19660,글로본(주),1992-06-04,2021,1.3761E+11,-36.55,0,-187,-23.33,-14.75,65.25,2121.475348,0.979754327,2742.82796,0.531266292,3097.287866,35.60250715,4552.836262,-7.74981224,4200,0,-30.77582512,7.18,0,30.07,0
79960,동양이엔피(주),2005-02-01,2021,1.3755E+11,16.44,-33.63,3.4,4.01,2.98,35.58,12050,0.452282158,17100,0.023391813,18450,-5.149051491,17450,0.286532951,17500,8.44,14.96259352,0.6,2.21,0.32,2.29
129260,인터지스(주),2011-12-16,2021,1.37286E+11,16.97,0,1.29,3.4,1.66,86.37,1635,1.822629969,2545,0.813359528,3300,39.84848485,4290,7.575757576,4615,115,23.52941176,0.8,8.09,0.33,0
53980,오상자이엘(주),2002-04-09,2021,1.37191E+11,38.31,0,7.11,20.14,10.08,77.15,9050,-0.145856354,10950,-0.294063927,9750,-20.71794872,6550,18.01526718,7730,37.79,23.48560079,4.73,28.41,2.15,0
19570,(주)리더스 기술투자,1989-03-14,2021,1.37171E+11,3.58,0,-112.63,-49.11,-28.02,13.19,301.2257293,2.751339577,369.017507,2.062185339,398.9101626,183.2718005,718.964028,57.17058935,1130,12.51,-5.436774588,2.67,8.88,2.47,0
87260,모바일어플라이언스(주),2017-02-24,2021,1.36992E+11,-21.77,-21.92,5.38,3.79,2.14,78.38,3382.369893,0.247645921,4981.140361,-0.15280444,5040,-16.26984127,4660,-9.442060086,4220,61.28,85.48812665,3.24,13.81,3.49,0
2360,(주)SH에너지화학,1985-12-23,2021,1.36139E+11,37.05,0,-0.29,-0.09,-0.07,31.12,792,0.546717172,806,0.519851117,835,46.70658683,940,30.31914894,1225,0,-1688.888889,1.52,35.92,1.49,0
7980,태평양물산(주),1994-12-27,2021,1.35541E+11,6.07,0,-1.51,-4.06,-1.2,241.27,2057.646058,0.368068133,1700,0.655882353,1980,42.17171717,1905,47.76902887,2815,34.38,-16.74876847,0.68,6.55,0.25,0
225330,(주)씨엠에스에듀,2016-04-07,2021,1.35474E+11,8.53,17.01,15.1,12.86,5.41,131.11,5370,0.353817505,6100,0.191803279,5470,32.90676417,6660,9.159159159,7270,21.97,25.81648523,3.32,8.45,1.64,3.58
66310,(주)큐에스아이,2006-11-24,2021,1.35349E+11,36.26,235.6,12.98,5.82,4.3,35.11,17350,-0.057636888,16600,-0.015060241,16600,-1.506024096,16600,-1.506024096,16350,51.29,40.89347079,2.38,61.97,5.88,0.31
41520,(주)이라이콤,2003-07-04,2021,1.35295E+11,-22.89,-41.82,0.43,1.64,1.35,16.36,5560,0.996402878,11000,0.009090909,16500,-32.72727273,11950,-7.112970711,11100,16.32,40.85365854,0.67,6.35,0.65,5.41
63440,(주)에스엠라이프디자인그룹,2002-05-30,2021,1.34936E+11,103.16,0,4.77,5.47,4.93,13.22,1591.465699,0.878771249,2215.080785,0.349837902,2070,44.44444444,3355,-10.87928465,2990,0,52.28519196,2.86,0,5.38,0
1290,(주)상상인증권,1988-09-23,2021,1.34926E+11,-5.67,22.36,30.47,3.42,1.15,194.88,990.1029611,0.403894398,971.2910048,0.431085013,1049.509139,32.44286769,1188.123553,16.99119979,1390,33.08,21.92982456,0.75,4.33,3.6,0
263600,덕우전자(주),2017-08-28,2021,1.34611E+11,-6.91,-53.36,-1.37,3.39,2.48,55.07,8080,0.045792079,7450,0.134228188,7980,5.889724311,8280,2.053140097,8450,11.35,45.72271386,1.55,5.79,1.02,1.66
10820,퍼스텍(주),1989-05-10,2021,1.34572E+11,10.29,0,1.47,9.09,1.68,344.05,2164.97312,0.293318598,2065,0.355932203,2140,30.8411215,2655,5.461393597,2800,18.87,33.11331133,3.01,12.19,1.02,0
