회사명,거래소코드,회계년도,매출액증가율(IFRS),순이익증가율(IFRS),매출액정상영업이익률(IFRS),자기자본순이익률(IFRS),총자본순이익률(IFRS),부채비율(IFRS),차입금의존도(IFRS),자본(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS),상장일,보통주자본금(IFRS),우선주자본금(IFRS)
아주아이비투자(주),027360,2020/06,-22.79,-48.96,39.26,3.5,2.63,33.95,,140621853,0,4750155,2018/11/21,59357025,0
아주아이비투자(주),027360,2018/06,27.16,-17.63,30.07,3.47,2.37,45.82,,106626939,0,3632971,2018/11/21,53962000,0
아주아이비투자(주),027360,2021/06,103.46,53.61,30.96,4.93,3.51,46.12,,155404553,0,7296894,2018/11/21,59625113,0
아진산업(주),013310,2021/06,13.12,23.65,5.43,2.5,1.17,106.91,31.96,209435595,8081697,5140682,2015/12/22,19403291,0
아진산업(주),013310,2018/06,27.5,0,-4.78,-3.53,-1.57,128.23,34.35,175014127,-3720836,-5663274,2015/12/22,14866293,0
아진산업(주),013310,2020/06,19.43,-17.76,8.27,2.18,0.96,120.16,33.34,201118143,10887637,4157369,2015/12/22,18303711,0
아진산업(주),013310,2019/06,41.53,0,8.15,2.85,1.23,134.95,32.13,179513032,8980468,5055195,2015/12/22,15208638,0
안국약품(주),001540,2019/06,-15.31,-83.66,-1.1,0.55,0.38,46.33,13.33,144069365,-761491,776449,2000/06/15,6521210,0
안국약품(주),001540,2018/06,-7.83,6.78,5.39,3.5,2.49,39.87,7.96,138982141,4390941,4751380,2000/06/15,6521210,0
안국약품(주),001540,2021/06,0.47,0,-1.64,-0.03,-0.02,36.24,8.41,139257701,-1146150,-42064,2000/06/15,6521210,0
안국약품(주),001540,2020/06,0.65,0,4.48,-1.2,-0.83,40.46,10.58,142722746,3108709,-1713914,2000/06/15,6521210,0
알리코제약(주),260660,2019/06,23.09,0,11.44,8.32,4.92,73.83,24.92,65856570,6419212,5225083,2018/02/12,4797788,0
알리코제약(주),260660,2018/06,0,0,9.46,-2.91,-1.78,63.86,18.05,59711720,4314428,-1740022,2018/02/12,4797788,0
알리코제약(주),260660,2020/06,12.59,19.51,11.67,8.83,5.28,61.38,18.56,75529004,7375822,6244362,2018/02/12,4907288,0
알리코제약(주),260660,2021/06,4.05,-28.72,6.28,5.68,3.78,40.23,7.92,81064187,4130808,4451019,2018/02/12,7663511,0
알서포트(주),131370,2020/06,73.83,0,38.49,-19.9,-16.67,32.95,17.73,47563312,7405405,-10245429,2011/01/05,5326708,0
알서포트(주),131370,2018/06,20.59,178.96,14.26,3.48,3.19,9.64,1.87,49140517,1412115,1756687,2011/01/05,5326708,0
알서포트(주),131370,2021/06,22.63,0,43.53,20.66,16.75,16.06,2.78,63637209,10270311,11484718,2011/01/05,5326708,0
알서포트(주),131370,2019/06,11.74,168.21,19.44,9.01,8.3,7.81,0.88,55394697,2151273,4711674,2011/01/05,5326708,0
알에스오토메이션(주),140670,2018/06,,,,,,,,38600120,68419,302019,2017/08/11,4551570,0
알에스오토메이션(주),140670,2019/06,0,0,0.16,-0.48,-0.28,75.72,24.14,39193623,62152,-189929,2017/08/11,4551570,0
알에스오토메이션(주),140670,2020/06,0.1,0,1,0.12,0.07,79.1,22.89,38861237,379033,48486,2017/08/11,4551570,0
알에스오토메이션(주),140670,2021/06,52.1,2798.29,2.68,3.69,1.91,108.37,21.9,37362489,1550825,1405253,2017/08/11,4551570,0
알에프머트리얼즈(주),327260,2020/06,0,0,-3.46,-0.16,-0.15,12.29,6.56,27148432,-207662,-44668,2019/12/24,1798294,0
알에프머트리얼즈(주),327260,2019/06,,,,,,,,16640652,1795237,1543038,2019/12/24,1372144,0
알에프머트리얼즈(주),327260,2021/06,-21.35,0,-19.29,-1.3,-1.02,40.46,24.81,29961299,-911226,-371233,2019/12/24,1846831,0
알에프에이치아이씨(주),218410,2020/06,-52.7,-89.85,-1.53,0.86,0.69,19.07,7.94,196054996,-476873,1644204,2015/06/30,11923810,0
알에프에이치아이씨(주),218410,2021/06,11.33,112.67,5.68,1.75,1.29,53.29,26.07,202620831,1968549,3496788,2015/06/30,11923810,0
알에프에이치아이씨(주),218410,2018/06,0,0,21.73,7.75,6.17,25.59,12.35,140292475,10051060,10866787,2015/06/30,11124480,0
알에프에이치아이씨(주),218410,2019/06,42.29,49.04,24.96,9.94,7.67,32.67,10.04,185566246,16425594,16195318,2015/06/30,11721451,0
압타바이오(주),293780,2021/06,-27.37,0,-2994.49,-7.38,-7.09,5.34,0.12,66931744,-5757564,-5236779,2019/06/12,5547617,0
